name,symbol,description,chromosome,color
1,A1BG,alpha-1-B glycoprotein,19,"rgb(128,177,211)"
25,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase",9,"rgb(190,186,218)"
27,ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase",1,"rgb(141,211,199)"
58,ACTA1,"actin, alpha 1, skeletal muscle",1,"rgb(141,211,199)"
60,ACTB,"actin, beta",7,"rgb(255,255,179)"
87,ACTN1,"actinin, alpha 1",14,"rgb(251,128,114)"
163,AP2B1,"adaptor-related protein complex 2, beta 1 subunit",17,"rgb(128,177,211)"
196,AHR,aryl hydrocarbon receptor,7,"rgb(255,255,179)"
207,AKT1,v-akt murine thymoma viral oncogene homolog 1,14,"rgb(251,128,114)"
208,AKT2,v-akt murine thymoma viral oncogene homolog 2,19,"rgb(128,177,211)"
301,ANXA1,annexin A1,9,"rgb(190,186,218)"
323,APBB2,"amyloid beta (A4) precursor protein-binding, family B, member 2",4,"rgb(141,211,199)"
324,APC,adenomatous polyposis coli,5,"rgb(255,255,179)"
326,AIRE,autoimmune regulator,21,"rgb(253,180,98)"
328,APEX1,APEX nuclease (multifunctional DNA repair enzyme) 1,14,"rgb(251,128,114)"
356,FASLG,"Fas ligand (TNF superfamily, member 6)",1,"rgb(141,211,199)"
367,AR,androgen receptor,X,"rgb(253,180,98)"
369,ARAF,"A-Raf proto-oncogene, serine/threonine kinase",X,"rgb(253,180,98)"
379,ARL4D,ADP-ribosylation factor-like 4D,17,"rgb(128,177,211)"
391,RHOG,ras homolog family member G,11,"rgb(190,186,218)"
409,ARRB2,"arrestin, beta 2",17,"rgb(128,177,211)"
468,ATF4,activating transcription factor 4,22,"rgb(253,180,98)"
472,ATM,ATM serine/threonine kinase,11,"rgb(190,186,218)"
493,ATP2B4,"ATPase, Ca++ transporting, plasma membrane 4",1,"rgb(141,211,199)"
547,KIF1A,kinesin family member 1A,2,"rgb(141,211,199)"
558,AXL,AXL receptor tyrosine kinase,19,"rgb(128,177,211)"
580,BARD1,BRCA1 associated RING domain 1,2,"rgb(141,211,199)"
595,CCND1,cyclin D1,11,"rgb(190,186,218)"
596,BCL2,B-cell CLL/lymphoma 2,18,"rgb(128,177,211)"
610,HCN2,hyperpolarization activated cyclic nucleotide-gated potassium channel 2,19,"rgb(128,177,211)"
672,BRCA1,"breast cancer 1, early onset",17,"rgb(128,177,211)"
675,BRCA2,"breast cancer 2, early onset",13,"rgb(251,128,114)"
836,CASP3,"caspase 3, apoptosis-related cysteine peptidase",4,"rgb(141,211,199)"
857,CAV1,"caveolin 1, caveolae protein, 22kDa",7,"rgb(255,255,179)"
861,RUNX1,runt-related transcription factor 1,21,"rgb(253,180,98)"
862,RUNX1T1,"runt-related transcription factor 1; translocated to, 1 (cyclin D-related)",8,"rgb(255,255,179)"
867,CBL,"Cbl proto-oncogene, E3 ubiquitin protein ligase",11,"rgb(190,186,218)"
868,CBLB,"Cbl proto-oncogene B, E3 ubiquitin protein ligase",3,"rgb(141,211,199)"
890,CCNA2,cyclin A2,4,"rgb(141,211,199)"
891,CCNB1,cyclin B1,5,"rgb(255,255,179)"
902,CCNH,cyclin H,5,"rgb(255,255,179)"
916,CD3E,"CD3e molecule, epsilon (CD3-TCR complex)",11,"rgb(190,186,218)"
930,CD19,CD19 molecule,16,"rgb(251,128,114)"
976,CD97,CD97 molecule,19,"rgb(128,177,211)"
983,CDK1,cyclin-dependent kinase 1,10,"rgb(190,186,218)"
998,CDC42,cell division cycle 42,1,"rgb(141,211,199)"
1017,CDK2,cyclin-dependent kinase 2,12,"rgb(190,186,218)"
1019,CDK4,cyclin-dependent kinase 4,12,"rgb(190,186,218)"
1021,CDK6,cyclin-dependent kinase 6,7,"rgb(255,255,179)"
1022,CDK7,cyclin-dependent kinase 7,5,"rgb(255,255,179)"
1026,CDKN1A,"cyclin-dependent kinase inhibitor 1A (p21, Cip1)",6,"rgb(255,255,179)"
1027,CDKN1B,"cyclin-dependent kinase inhibitor 1B (p27, Kip1)",12,"rgb(190,186,218)"
1029,CDKN2A,cyclin-dependent kinase inhibitor 2A,9,"rgb(190,186,218)"
1051,CEBPB,"CCAAT/enhancer binding protein (C/EBP), beta",20,"rgb(128,177,211)"
1072,CFL1,cofilin 1 (non-muscle),11,"rgb(190,186,218)"
1111,CHEK1,checkpoint kinase 1,11,"rgb(190,186,218)"
1147,CHUK,conserved helix-loop-helix ubiquitous kinase,10,"rgb(190,186,218)"
1154,CISH,cytokine inducible SH2-containing protein,3,"rgb(141,211,199)"
1173,AP2M1,"adaptor-related protein complex 2, mu 1 subunit",3,"rgb(141,211,199)"
1385,CREB1,cAMP responsive element binding protein 1,2,"rgb(141,211,199)"
1386,ATF2,activating transcription factor 2,2,"rgb(141,211,199)"
1387,CREBBP,CREB binding protein,16,"rgb(251,128,114)"
1398,CRK,v-crk avian sarcoma virus CT10 oncogene homolog,17,"rgb(128,177,211)"
1400,CRMP1,collapsin response mediator protein 1,4,"rgb(141,211,199)"
1432,MAPK14,mitogen-activated protein kinase 14,6,"rgb(255,255,179)"
1445,CSK,c-src tyrosine kinase,15,"rgb(251,128,114)"
1457,CSNK2A1,"casein kinase 2, alpha 1 polypeptide",20,"rgb(128,177,211)"
1487,CTBP1,C-terminal binding protein 1,4,"rgb(141,211,199)"
1488,CTBP2,C-terminal binding protein 2,10,"rgb(190,186,218)"
1493,CTLA4,cytotoxic T-lymphocyte-associated protein 4,2,"rgb(141,211,199)"
1499,CTNNB1,"catenin (cadherin-associated protein), beta 1, 88kDa",3,"rgb(141,211,199)"
1509,CTSD,cathepsin D,11,"rgb(190,186,218)"
1600,DAB1,"Dab, reelin signal transducer, homolog 1 (Drosophila)",1,"rgb(141,211,199)"
1601,DAB2,"Dab, mitogen-responsive phosphoprotein, homolog 2 (Drosophila)",5,"rgb(255,255,179)"
1605,DAG1,dystroglycan 1 (dystrophin-associated glycoprotein 1),3,"rgb(141,211,199)"
1615,DARS,aspartyl-tRNA synthetase,2,"rgb(141,211,199)"
1616,DAXX,death-domain associated protein,6,"rgb(255,255,179)"
1627,DBN1,drebrin 1,5,"rgb(255,255,179)"
1634,DCN,decorin,12,"rgb(190,186,218)"
1655,DDX5,DEAD (Asp-Glu-Ala-Asp) box helicase 5,17,"rgb(128,177,211)"
1748,DLX4,distal-less homeobox 4,17,"rgb(128,177,211)"
1759,DNM1,dynamin 1,9,"rgb(190,186,218)"
1786,DNMT1,DNA (cytosine-5-)-methyltransferase 1,19,"rgb(128,177,211)"
1789,DNMT3B,DNA (cytosine-5-)-methyltransferase 3 beta,20,"rgb(128,177,211)"
